REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
80,sparse2,-91.3865790270314,0.836802,4.27493,39.1385,0.000147961,1.16031e-10,0.180539,0.071906,3.56118e-20,SUCCESS
81,sparse2,-78.319844177452,0.451439,4.07588,26.2549,0.000131291,9.56342e-05,1.14992e-15,0.0537701,0.107767,ROUNDING
82,sparse2,-77.6157371980162,0.684371,4.41165,37.818,0.181447,0.147924,0.118988,1.62252e-13,0.0413284,SUCCESS
83,sparse2,-93.4260432147007,0.592631,4.48086,31.793,0.174874,0.0966515,0.0341883,2.76584e-12,0.0536032,SUCCESS
84,sparse2,-111.350536341118,0.406469,4.72556,25.1201,0.156316,0.0667945,0.0880345,7.70667e-13,3.8794e-130,SUCCESS
85,sparse2,-106.668288336904,1.26282,4.28523,57.168,0.147738,0.0865524,6.57383e-10,7.24651e-15,0.0832098,SUCCESS
86,sparse2,-86.718208516532,0.561893,4.12941,31.0321,0.0002453,6.6641e-11,7.36106e-18,0.0693687,0.073977,SUCCESS
87,sparse2,-102.285446054921,2.13176,3.85211,66.3998,0.0531812,0.0805182,4.87638e-15,0.143677,0.058003,SUCCESS
88,sparse2,-82.7603493680143,0.746268,3.97276,38.8618,0.0278932,0.0558303,4.32245e-05,0.0648066,0.106491,SUCCESS
89,sparse2,-89.1297299579361,1.28075,3.17823,58.0344,0.183501,0.0903865,2.71085e-10,1.39391e-11,0.0798835,SUCCESS
90,sparse2,-78.6710945483961,4.29798,2.86344,68.6879,0.16915,0.0688832,1.01259,1.21965e-07,0.0977853,SUCCESS
91,sparse2,-96.2789847748903,0.562825,4.58445,32.2352,0.0546043,0.0975465,0.085496,0.0495397,1.46905e-08,SUCCESS
92,sparse2,-84.7248008223905,1.7036,3.96867,56.7564,0.000512359,0.000596046,0.192976,0.135535,0.0517723,SUCCESS
93,sparse2,-93.919977822286,0.888008,4.385,47.2159,0.141001,0.0739881,0.0057673,0.0400822,0.0711623,SUCCESS
94,sparse2,-76.8406057562961,1.36707,3.66058,53.9315,0.0846279,0.103041,5.75725e-08,0.121703,0.0762422,ROUNDING
95,sparse2,-112.715887342056,1.50842,4.06564,54.4188,0.157997,0.0620432,2.36031e-13,5.01538e-10,0.047224,SUCCESS
96,sparse2,-93.9420582975376,0.821052,3.9117,42.6057,0.000103488,1.02008e-09,7.06601e-16,0.0685139,0.101037,SUCCESS
97,sparse2,-64.4467845833586,2.59441,3.55724,63.6205,0.22103,0.145003,0.00773248,0.0833409,0.0435221,SUCCESS
98,sparse2,-81.6246519351748,1.29847,4.32874,48.5111,0.000145631,0.000161417,0.0203992,0.137008,0.0699381,SUCCESS
99,sparse2,-95.0801839271157,0.677167,4.14652,34.0918,0.00926286,0.00805103,0.0730574,0.0447895,0.0365182,SUCCESS
100,sparse2,-97.6755466858999,0.251754,4.52121,16.953,0.152985,0.171709,0.00161213,0.024243,0.000132476,SUCCESS
1,sparse3,-162.319462860173,1.2418,3.95754,49.6522,0.0909952,0.120458,0.0762857,0.0522254,0.0240658,SUCCESS
2,sparse3,-134.961444195408,1.015,3.92855,52.7045,0.0699172,0.167011,0.198457,0.099614,0.0169316,SUCCESS
3,sparse3,-166.008932054914,1.12735,3.43135,52.7443,0.011428,0.0860408,0.131769,0.0739959,0.0455404,SUCCESS
4,sparse3,-157.753947135621,1.16751,4.04094,49.1854,0.0062817,0.124165,0.06793,0.12145,0.0300902,SUCCESS
5,sparse3,-150.971368933337,0.999993,3.73354,49.4182,0.0217088,0.086192,0.2055,0.0931436,0.0413126,SUCCESS
6,sparse3,-168.345473390727,1.20324,4.37643,52.6102,0.0699669,0.161727,2.35499e-05,0.0500769,0.0323833,SUCCESS
7,sparse3,-161.037213193962,0.949383,3.8011,48.765,0.0105228,0.125363,0.0690725,0.0877068,0.0298761,SUCCESS
8,sparse3,-155.465878218263,1.14801,3.82713,48.0501,0.0219442,0.0630915,0.096647,0.131702,0.0639203,SUCCESS
